Clients,AGO stored,PMS stored,Storage as at,Expected_picking,AGO_picked,PMS_picked,Picked date_ago
ONE P,3773420.02,348080.77,12/11/2023,12/29/2023,5041059.19,8765494.46,12/18/2023
HASS RWANDA,9221894.12,9600541.07,12/19/2023,12/27/2023,4449553.38,1109746.67,12/30/2023
HASS RWANDA,6563341.62,6445039.81,12/16/2023,12/03/2023,3017429.07,3397190.23,12/04/2023
REGIDE-BURUNDI,5746272.2,1094117.82,12/16/2023,12/30/2023,6669991.2,5973663.26,12/07/2023
HASS DRC,4092388.95,6469149,12/30/2023,12/22/2023,3744871.41,7362387.38,12/15/2023
HASS UGANDA,5324262.09,6362970.89,12/15/2023,12/02/2023,5694433.57,1185413.9,12/05/2023
HASS DRC,3296080.67,8392835.49,12/20/2023,12/24/2023,7904087.57,6430361.17,12/14/2023
HASS RWANDA CMA,6888541.77,6234775.6,12/30/2023,12/11/2023,1263757.01,9651850.66,12/16/2023
HASS UGANDA CMA,3080782.58,3105471.71,12/24/2023,12/10/2023,1156473.62,4924329.68,12/19/2023
HASS DRC,3734825.73,1772404.44,12/23/2023,12/24/2023,5333077.29,5783050.39,12/30/2023
HASS RWANDA CMA,5335717.39,8946815.7,12/05/2023,12/26/2023,2509198.94,7922122.03,12/05/2023
HASS ZAMBIA CMA,2496618.58,2583449.59,12/25/2023,12/15/2023,8519590.6,9402229.73,12/28/2023
HASS DRC,5407979.25,9550094.02,12/07/2023,12/24/2023,5886455.05,6518786.57,12/17/2023
HASS TZ CMA,4056414.35,3068410.68,12/05/2023,12/15/2023,7234019.85,1963487.18,12/17/2023
HASS RWANDA CMA,504341.06,9498145.41,12/15/2023,12/07/2023,7218451.51,2870112.57,12/05/2023
HASS TZ CMA,5638874.47,8871326.69,12/02/2023,12/12/2023,3884318.88,6199029.46,12/21/2023
HASS RWANDA CMA,9360040.22,5516515.67,12/05/2023,12/01/2023,8616922.04,8644184.11,12/30/2023
HASS UGANDA,3112195.61,7420418.43,12/10/2023,12/04/2023,9806380.21,1741100.63,12/14/2023
ONE P,1040754.44,2530144.69,12/19/2023,12/19/2023,3250340.71,9706757.49,12/02/2023
HASS RWANDA CMA,1008318.74,2451830.21,12/08/2023,12/04/2023,904252.73,7129146.04,12/01/2023
HASS ZAMBIA CMA,4837534.92,8996047.55,12/04/2023,12/18/2023,7546999.72,6833737.28,12/12/2023
HASS UGANDA CMA,2373626.5,1958188.96,12/21/2023,12/29/2023,2974747.29,6805040.92,12/22/2023
HASS RWANDA CMA,9968748.22,676603.91,12/05/2023,12/11/2023,2412518.88,8112116.05,12/19/2023
NOTIONAL OIL COMPANY OF MALAWI,6786234.85,3691465.79,12/22/2023,12/16/2023,1256483.51,411019.47,12/24/2023
REGIDE-BURUNDI,8232315.48,9501421.57,12/23/2023,12/17/2023,8438769.49,6213993.12,12/18/2023
NOTIONAL OIL COMPANY OF MALAWI,5600725.47,649929.36,12/01/2023,12/21/2023,5861267.58,9938961.05,12/26/2023
HASS UGANDA,5770570.47,5616601.47,12/09/2023,12/22/2023,3023480.71,6868610.03,12/24/2023
HASS RWANDA CMA,6475447.07,9750545.93,12/12/2023,12/05/2023,3656654.08,8038398.8,12/06/2023
TANK,5901869.82,6561818.11,12/02/2023,12/07/2023,60497.76,4125936.18,12/05/2023
HASS RWANDA CMA,2891613.85,7083166.5,12/27/2023,12/05/2023,4086977.59,9756705.73,12/02/2023
NOTIONAL OIL COMPANY OF MALAWI,9667695.47,1953350.45,12/15/2023,12/19/2023,1265611.29,9016766.74,12/09/2023
HASS UGANDA,8331835.97,1936054.82,12/02/2023,12/26/2023,276887.43,5351243.87,12/25/2023
HASS UGANDA CMA,7664961.69,6448231.34,12/17/2023,12/14/2023,980341.23,5223701.35,12/23/2023
TANK,5740381.25,545133.73,12/12/2023,12/30/2023,7357288.14,293660.68,12/02/2023
MEWD ZAMBIA,1272276.58,2229964.82,12/26/2023,12/25/2023,8055198.37,5475157.88,12/30/2023
NURAH ENERGY DRC,7161832.05,5956702.94,12/22/2023,12/24/2023,1824829.94,2550633.02,12/29/2023
NOTIONAL OIL COMPANY OF MALAWI,2994176.6,6165854.89,12/25/2023,12/08/2023,9648248.87,7690202.09,12/18/2023
HASS RWANDA,3974788.11,4445443.9,12/05/2023,12/08/2023,9624714.86,3872930,12/16/2023
HASS DRC,1995729.79,3984971.14,12/12/2023,12/09/2023,4236505.34,9497832.32,12/21/2023
HASS TZ CMA,5418185.51,9840991.14,12/11/2023,12/08/2023,3880998.45,6259775.04,12/08/2023
ONE P,5182138.24,134631.15,12/18/2023,12/06/2023,6632554.66,8448527.43,12/15/2023
